시도,No,자치구/시군명,한자명,오행,오행한자,상태,비고
서울,1,종로구,鍾路區,금,金,유지,
서울,2,중구,中區,토,土,유지,
서울,3,용산구,龍山區,토,土,유지,
서울,4,성동구,城東區,목,木,유지,
서울,5,광진구,廣津區,토수,土水,유지,
서울,6,동대문구,東大門區,목,木,유지,
서울,7,중랑구,中浪區,토수,土水,유지,
서울,8,성북구,城北區,수,水,유지,
서울,9,강동구,江東區,목,木,유지,
서울,10,강북구,江北區,수,水,유지,
서울,11,도봉구,道峰區,토,土,유지,
서울,12,노원구,蘆原區,목,木,유지,
서울,13,은평구,恩平區,화,火,유지,
서울,14,서대문구,西大門區,금,金,유지,
서울,15,마포구,麻浦區,수목,水木,유지,
서울,16,양천구,陽川區,화,火,유지,
서울,17,강서구,江西區,금,金,유지,
서울,18,구로구,九老區,금,金,유지,
서울,19,금천구,衿川區,목,木,유지,
서울,20,영등포구,永登浦區,수,水,유지,
서울,21,동작구,銅雀區,금,金,유지,
서울,22,관악구,冠岳區,토,土,유지,
서울,23,서초구,瑞草區,목,木,유지,
서울,24,강남구,江南區,화,火,유지,
서울,25,송파구,松坡區,목토,木土,유지,
서울,26,여의도,汝矣島,수,水,추가,자치구/시군 단위가 아닌 지명으로 보여 검수 필요
경기도,27,수원시,水原市,수,水,유지,
경기도,28,고양시,高陽市,목,木,유지,
경기도,29,용인시,龍仁市,토금,土金,보정,텍스트 기준 보정: 기존 토목(土木) → 토금(土金)
경기도,30,성남시,城南市,화토,火土,유지,
경기도,31,부천시,富川市,토수,土水,유지,
경기도,32,안산시,安山市,토,土,유지,
경기도,33,화성시,華城市,목,木,유지,
경기도,34,남양주시,南楊州市,화,火,유지,
경기도,35,평택시,平澤市,수,水,유지,
경기도,36,가평군,加平郡,수,水,유지,
경기도,37,파주시,坡州市,토,土,유지,
경기도,38,의정부시,議政府市,금,金,유지,
경기도,39,시흥시,始興市,수,水,유지,
경기도,40,김포시,金浦市,금수,金水,유지,
경기도,41,광주시,廣州市,토,土,유지,
경기도,42,광명시,光明市,화,火,유지,
경기도,43,군포시,軍浦市,금수,金水,유지,
경기도,44,하남시,河南市,화,火,유지,
경기도,45,이천시,利川市,목,木,유지,
경기도,46,과천시,果川市,목,木,유지,
경기도,47,오산시,烏山市,목,木,유지,
경기도,48,양주시,楊州市,목,木,유지,
경기도,49,구리시,九里市,토금,土金,유지,
경기도,50,안성시,安城市,토,土,유지,
경기도,51,의왕시,義王市,금,金,유지,이미지에는 '(金)' 형태로 표시되어 금(金)으로 정리
경기도,52,포천시,抱川市,수,水,유지,
경기도,53,양평군,楊平郡,수목,水木,유지,
경기도,54,여주시,驪州市,화,火,유지,
경기도,55,동두천시,東豆川市,목,木,유지,
경기도,56,연천군,漣川郡,수,水,유지,
경기도,57,안양시,安養市,토,土,추가,기존 이미지 기반 시트에서 누락된 항목
부산,58,중구,中區,토,土,유지,
부산,59,서구,西區,금,金,유지,
부산,60,동구,東區,목,木,유지,
부산,61,영도구,影島區,수,水,유지,
부산,62,동래구,東萊區,목,木,유지,
부산,63,기장군,機張郡,목,木,유지,
부산,64,남구,南區,화,火,유지,
부산,65,북구,北區,수,水,유지,
부산,66,강서구,江西區,금,金,유지,
부산,67,해운대구,海雲臺區,수,水,유지,
부산,68,사하구,沙下區,수,水,유지,이미지의 괄호 안 표기가 '수'처럼 보이나 수(水)로 정리
부산,69,연제구,蓮堤區,목,木,유지,
부산,70,수영구,水營區,수,水,유지,
부산,71,사상구,沙上區,수,水,유지,
부산,72,부산진구,釜山鎭區,금,金,유지,
부산,73,금정구,金井區,금수,金水,유지,
대구,74,중구,中區,토,土,유지,
대구,75,남구,南區,화,火,유지,
대구,76,달서구,達西區,금,金,유지,
대구,77,동구,東區,목,木,유지,
대구,78,북구,北區,수,水,유지,
대구,79,달성군,達城郡,토,土,유지,
대구,80,서구,西區,금,金,유지,
대구,81,수성구,壽城區,수,水,유지,
인천,82,중구,中區,토,土,유지,
인천,83,연수구,延壽區,수,水,유지,
인천,84,계양구,桂陽區,목,木,유지,
인천,85,옹진군,甕津郡,수,水,유지,
인천,86,동구,東區,목,木,유지,
인천,87,남동구,南洞區,화,火,유지,
인천,88,서구,西區,금,金,유지,
인천,89,미추홀구,彌鄒忽區,수,水,유지,
인천,90,부평구,富平區,토수,土水,유지,
인천,91,강화군,江華郡,수목,水木,유지,
울산,92,중구,中區,토,土,유지,
울산,93,북구,北區,수,水,유지,
울산,94,남구,南區,화,火,유지,
울산,95,울주군,蔚州郡,목,木,유지,
울산,96,동구,東區,목,木,유지,
광주,97,동구,東區,목,木,유지,
광주,98,북구,北區,수,水,유지,
광주,99,서구,西區,금,金,유지,
광주,100,광산구,光山區,화,火,유지,
광주,101,남구,南區,화,火,유지,
대전,102,동구,東區,목,木,유지,
대전,103,유성구,儒城區,목,木,유지,
대전,104,서구,西區,금,金,유지,
대전,105,대덕구,大德區,화,火,유지,
대전,106,중구,中區,토,土,유지,
강원도,107,춘천시,春川市,목,木,유지,
강원도,108,동해시,東海市,목수,木水,유지,
강원도,109,삼척시,三陟市,목,木,유지,
강원도,110,영월군,寧越郡,화토,火土,유지,
강원도,111,철원군,鐵原郡,금토,金土,유지,
강원도,112,인제군,麟蹄郡,토,土,유지,
강원도,113,원주시,原州市,토,土,유지,
강원도,114,태백시,太白市,화금,火金,유지,
강원도,115,홍천군,洪川郡,수,水,유지,
강원도,116,평창군,平昌郡,화,火,유지,
강원도,117,화천군,華川郡,목,木,유지,
강원도,118,고성군,高城郡,목,木,유지,
강원도,119,강릉시,江陵市,목,木,유지,
강원도,120,속초시,束草市,목,木,유지,
강원도,121,횡성군,橫城郡,목,木,유지,
강원도,122,정선군,旌善郡,목,木,유지,
강원도,123,양구군,楊口郡,목,木,유지,
강원도,124,양양군,襄陽郡,목화,木火,유지,
강원도,125,묵호,墨湖,수,水,추가,시군 단위가 아닌 지명으로 보여 검수 필요
충청남도,126,천안시,天安市,화토,火土,유지,
충청남도,127,아산시,牙山市,토,土,유지,
충청남도,128,당진시,唐津市,수,水,유지,
충청남도,129,서천군,舒川郡,수,水,유지,
충청남도,130,예산군,禮山郡,화,火,유지,
충청남도,131,공주시,公州市,금,金,유지,
충청남도,132,서산시,瑞山市,금,金,유지,
충청남도,133,금산군,錦山郡,금,金,유지,
충청남도,134,청양군,靑陽郡,목,木,유지,
충청남도,135,태안군,泰安郡,화토,火土,유지,
충청남도,136,보령시,保寧市,화,火,유지,
충청남도,137,논산시,論山市,토,土,유지,
충청남도,138,부여군,扶餘郡,목,木,유지,
충청남도,139,홍성군,洪城郡,수,水,유지,
충청북도,140,청주시,淸州市,수,水,유지,
충청북도,141,보은군,報恩郡,화,火,유지,
충청북도,142,증평군,曾坪郡,화토,火土,유지,
충청북도,143,음성군,陰城郡,토,土,유지,
충청북도,144,충주시,忠州市,토,土,유지,
충청북도,145,옥천군,沃川郡,수,水,유지,
충청북도,146,진천군,鎭川郡,금,金,유지,
충청북도,147,단양군,丹陽郡,화,火,유지,
충청북도,148,제천시,堤川市,토,土,유지,
충청북도,149,영동군,永同郡,수,水,유지,
충청북도,150,괴산군,槐山郡,목,木,유지,
전라남도,151,목포시,木浦市,수목,水木,유지,
전라남도,152,나주시,羅州市,목,木,유지,
전라남도,153,곡성군,谷城郡,토,土,유지,
전라남도,154,보성군,寶城郡,토,土,유지,
전라남도,155,강진군,康津郡,수,水,유지,
전라남도,156,무안군,務安郡,금,金,유지,
전라남도,157,장성군,長城郡,토,土,유지,
전라남도,158,신안군,新安郡,금토,金土,유지,
전라남도,159,여수시,麗水市,목수,木水,유지,
전라남도,160,광양시,光陽市,화,火,유지,
전라남도,161,구례군,求禮郡,화,火,유지,
전라남도,162,화순군,和順郡,목,木,유지,
전라남도,163,해남군,海南郡,수화,水火,유지,
전라남도,164,함평군,咸平郡,수,水,유지,
전라남도,165,완도군,莞島郡,목토,木土,유지,
전라남도,166,순천시,順天市,화,火,유지,
전라남도,167,담양군,潭陽郡,수화,水火,유지,
전라남도,168,고흥군,高興郡,목,木,유지,
전라남도,169,장흥군,長興郡,화,火,유지,
전라남도,170,영암군,靈岩郡,토,土,유지,
전라남도,171,영광군,靈光郡,화,火,유지,
전라남도,172,진도군,珍島郡,토금,土金,유지,
전라북도,173,전주시,全州市,금,金,유지,
전라북도,174,정읍시,井邑市,수,水,유지,
전라북도,175,완주군,完州郡,토,土,유지,
전라북도,176,임실군,任實郡,토,土,유지,
전라북도,177,무주군,茂朱郡,목화,木火,검수필요,
전라북도,178,익산시,益山市,토,土,유지,
전라북도,179,김제시,金堤市,금토,金土,유지,
전라북도,180,고창군,高敞郡,목,木,유지,
전라북도,181,순창군,淳昌郡,수화,水火,유지,
전라북도,182,장수군,長水郡,수,水,유지,
전라북도,183,군산시,群山市,토,土,유지,
전라북도,184,남원시,南原市,화,火,유지,
전라북도,185,부안군,扶安郡,토,土,유지,
전라북도,186,진안군,鎭安郡,금토,金土,유지,
경상남도,187,창원시,昌原市,화,火,유지,
경상남도,188,양산시,梁山市,목,木,유지,
경상남도,189,사천시,泗川市,수,水,유지,
경상남도,190,거창군,居昌郡,화,火,유지,
경상남도,191,하동군,河東郡,목,木,유지,
경상남도,192,함양군,咸陽郡,토,土,유지,
경상남도,193,김해시,金海市,금수,金水,유지,
경상남도,194,거제시,巨濟市,수,水,유지,
경상남도,195,밀양시,密陽市,화,火,유지,
경상남도,196,창녕군,昌寧郡,화,火,유지,
경상남도,197,합천군,陜川郡,수,水,유지,
경상남도,198,산청군,山淸郡,토,土,유지,
경상남도,199,진주시,晉州市,화,火,유지,
경상남도,200,통영시,統營市,화,火,유지,
경상남도,201,함안군,咸安郡,토,土,유지,
경상남도,202,고성군,固城郡,토,土,유지,
경상남도,203,남해군,南海郡,화,火,유지,
경상남도,204,의령군,宜寧郡,화,火,유지,
경상북도,205,포항시,浦項市,수,水,유지,
경상북도,206,안동시,安東市,토목,土木,유지,
경상북도,207,영천시,永川市,수,水,유지,
경상북도,208,경산시,慶山市,토,土,유지,
경상북도,209,청송군,靑松郡,목,木,유지,
경상북도,210,청도군,淸道郡,수,水,유지,
